Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(k)_average,ddt0(omega)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,k_average,nut_average,omega_average,p_average
internalMesh,17,-0.008027,0.000146,0.000000,0.008029,7.195515,0.090008,0.000000,7.196078,-2.111818,-10.853767,0.000000,11.057307,-12.283069,-49686.398438,-2.111818,-10.853767,0.000000,11.057307,10.808654,0.000119,75191.367188,-2.205331
internalMesh,18,-0.007518,0.000146,0.000000,0.007520,7.121667,0.085664,0.000000,7.122182,2.192810,-10.072042,0.000000,10.307981,-175.222748,21372.824219,2.192810,-10.072042,0.000000,10.307981,11.680231,0.000130,74227.375000,-2.270500
internalMesh,19,-0.007027,0.000146,0.000000,0.007028,7.057248,0.081194,0.000000,7.057715,5.849219,-6.435602,0.000000,8.696570,-266.118011,99607.398438,5.849219,-6.435602,0.000000,8.696570,12.546110,0.000141,73297.171875,-2.330316
internalMesh,20,-0.006553,0.000146,0.000000,0.006554,7.000954,0.076528,0.000000,7.001372,6.721280,2.762572,0.000000,7.266870,-249.685959,145594.781250,6.721280,2.762572,0.000000,7.266870,13.391726,0.000153,72400.437500,-2.385016
internalMesh,21,-0.006095,0.000146,0.000000,0.006097,6.951763,0.071428,0.000000,6.952130,3.829505,12.000797,0.000000,12.596993,-160.297607,103062.539062,3.829505,12.000797,0.000000,12.596993,14.203679,0.000163,71542.734375,-2.434471
internalMesh,22,-0.005653,0.000146,0.000000,0.005655,6.908568,0.066292,0.000000,6.908886,-0.587980,12.306608,0.000000,12.320646,58.408104,20982.212891,-0.587980,12.306608,0.000000,12.320646,14.965962,0.000174,70728.765625,-2.479330
internalMesh,23,-0.005227,0.000146,0.000000,0.005229,6.870383,0.061844,0.000000,6.870662,-2.871039,5.945283,0.000000,6.602216,192.368988,-35215.675781,-2.871039,5.945283,0.000000,6.602216,15.672244,0.000184,69958.601562,-2.521392
internalMesh,24,-0.004816,0.000146,0.000000,0.004818,6.835980,0.058315,0.000000,6.836229,-2.316604,-0.031271,0.000000,2.316815,219.417801,-67478.140625,-2.316604,-0.031271,0.000000,2.316815,16.327370,0.000193,69227.453125,-2.561700
internalMesh,25,-0.004419,0.000146,0.000000,0.004421,6.804598,0.055515,0.000000,6.804825,-1.081745,-3.493819,0.000000,3.657450,193.105530,-66938.046875,-1.081745,-3.493819,0.000000,3.657450,16.939993,0.000202,68531.617188,-2.599994
internalMesh,26,-0.004036,0.000146,0.000000,0.004039,6.775537,0.053171,0.000000,6.775745,-0.108406,-5.228253,0.000000,5.229377,126.952515,-58788.054688,-0.108406,-5.228253,0.000000,5.229377,17.512901,0.000210,67866.757812,-2.635245
internalMesh,27,-0.003666,0.000146,0.000000,0.003669,6.748523,0.051093,0.000000,6.748716,0.318447,-5.822988,0.000000,5.831689,39.848305,-52692.363281,0.318447,-5.822988,0.000000,5.831689,18.048828,0.000218,67231.921875,-2.666155
internalMesh,28,-0.003309,0.000146,0.000000,0.003313,6.723091,0.049159,0.000000,6.723271,0.325904,-5.185383,0.000000,5.195614,-44.616478,-28519.488281,0.325904,-5.185383,0.000000,5.195614,18.549204,0.000225,66622.718750,-2.691378
internalMesh,29,-0.002965,0.000146,0.000000,0.002969,6.699170,0.047282,0.000000,6.699337,0.212799,-3.276282,0.000000,3.283186,-110.475342,2053.256348,0.212799,-3.276282,0.000000,3.283186,19.015072,0.000233,66036.625000,-2.709205
internalMesh,30,-0.002633,0.000146,0.000000,0.002637,6.676179,0.045480,0.000000,6.676334,-0.156906,-0.571703,0.000000,0.592844,-145.703491,28204.505859,-0.156906,-0.571703,0.000000,0.592844,19.446711,0.000239,65467.832031,-2.717663
internalMesh,31,-0.002312,0.000146,0.000000,0.002317,6.654115,0.043814,0.000000,6.654259,-0.862204,2.006052,0.000000,2.183492,-148.276535,43536.011719,-0.862204,2.006052,0.000000,2.183492,19.844931,0.000245,64922.636719,-2.714404
internalMesh,32,-0.002003,0.000146,0.000000,0.002008,6.631899,0.042586,0.000000,6.632036,-1.781844,3.725527,0.000000,4.129712,-124.562607,44872.386719,-1.781844,3.725527,0.000000,4.129712,20.209164,0.000251,64384.269531,-2.697077
internalMesh,33,-0.001704,0.000146,0.000000,0.001710,6.609824,0.042052,0.000000,6.609958,-2.575299,4.163503,0.000000,4.895603,-83.304611,34964.832031,-2.575299,4.163503,0.000000,4.895603,20.543741,0.000257,63881.695312,-2.661343
internalMesh,34,-0.001416,0.000146,0.000000,0.001423,6.584506,0.043056,0.000000,6.584646,-3.022506,3.649001,0.000000,4.738222,-38.797016,21163.371094,-3.022506,3.649001,0.000000,4.738222,20.842701,0.000262,63354.574219,-2.602607
internalMesh,35,-0.001137,0.000146,0.000000,0.001147,6.558354,0.046578,0.000000,6.558520,-2.880435,2.369354,0.000000,3.729712,6.259656,5595.112305,-2.880435,2.369354,0.000000,3.729712,21.127312,0.000267,62916.226562,-2.506266
internalMesh,36,-0.000869,0.000146,0.000000,0.000881,6.515737,0.056373,0.000000,6.515980,-2.192893,1.065669,0.000000,2.438120,37.681274,-3819.165527,-2.192893,1.065669,0.000000,2.438120,21.358847,0.000271,62348.105469,-2.358084
internalMesh,37,-0.000610,0.000146,0.000000,0.000627,6.474468,0.065109,0.000000,6.474796,-1.249988,-0.050654,0.000000,1.251014,65.972572,-13828.252930,-1.249988,-0.050654,0.000000,1.251014,21.621717,0.000274,62021.574219,-2.087199
internalMesh,38,-0.000360,0.000146,0.000000,0.000388,6.347856,0.159833,0.000000,6.349867,-0.006811,-0.982846,0.000000,0.982870,76.839134,-15959.068359,-0.006811,-0.982846,0.000000,0.982870,21.869173,0.000280,61634.007812,-1.660952
internalMesh,39,-0.000119,0.000146,0.000000,0.000188,6.290315,0.169978,0.000000,6.292611,1.035838,-2.318451,0.000000,2.539326,77.946800,-16371.002930,1.035838,-2.318451,0.000000,2.539326,21.606682,0.000291,60474.820312,-0.759754
internalMesh,40,-0.020126,0.000448,0.000000,0.020131,10.010709,0.040664,0.000000,10.010792,0.019009,-0.144819,0.000000,0.146061,-0.401414,-43497.648438,0.019009,-0.144819,0.000000,0.146061,0.384591,0.000213,1832.098877,-0.247777
internalMesh,41,-0.019194,0.000448,0.000000,0.019200,10.050725,0.066480,0.000000,10.050945,0.445339,-0.239026,0.000000,0.505431,4.109046,286185.812500,0.445339,-0.239026,0.000000,0.505431,0.397762,0.000059,6774.768555,-0.616715
internalMesh,42,-0.018295,0.000448,0.000000,0.018301,10.077217,0.065988,0.000000,10.077434,0.684139,0.863392,0.000000,1.101586,4.779199,150245.125000,0.684139,0.863392,0.000000,1.101586,0.405778,0.000036,11362.895508,-0.915184
internalMesh,43,-0.017428,0.000448,0.000000,0.017433,10.083868,0.062346,0.000000,10.084061,0.265949,1.593192,0.000000,1.615237,-3.076669,-121146.500000,0.265949,1.593192,0.000000,1.615237,0.413538,0.000027,15187.169922,-1.057942
internalMesh,44,-0.016590,0.000448,0.000000,0.016596,10.077379,0.061462,0.000000,10.077567,-1.280768,0.500218,0.000000,1.374985,-5.858598,-359755.250000,-1.280768,0.500218,0.000000,1.374985,0.425244,0.000023,18277.804688,-1.121161
internalMesh,45,-0.015782,0.000448,0.000000,0.015789,10.063597,0.062675,0.000000,10.063792,-1.764615,-0.947805,0.000000,2.003048,-5.477983,-394212.281250,-1.764615,-0.947805,0.000000,2.003048,0.444304,0.000021,20810.494141,-1.170052
internalMesh,46,-0.015002,0.000448,0.000000,0.015009,10.043820,0.064386,0.000000,10.044026,-0.031229,-1.610028,0.000000,1.610331,-2.013597,-10600.200195,-0.031229,-1.610028,0.000000,1.610331,0.472610,0.000021,22911.416016,-1.227368
internalMesh,47,-0.014250,0.000448,0.000000,0.014257,10.017096,0.065457,0.000000,10.017309,1.210117,-1.378108,0.000000,1.834003,4.433755,443569.000000,1.210117,-1.378108,0.000000,1.834003,0.512384,0.000021,24645.324219,-1.291365
internalMesh,48,-0.013523,0.000448,0.000000,0.013531,9.982460,0.065433,0.000000,9.982675,0.998767,-0.427661,0.000000,1.086476,23.110432,268313.000000,0.998767,-0.427661,0.000000,1.086476,0.564612,0.000022,26150.925781,-1.354220
internalMesh,49,-0.012822,0.000448,0.000000,0.012830,9.939364,0.064212,0.000000,9.939571,0.636976,0.233421,0.000000,0.678398,7.380993,38891.148438,0.636976,0.233421,0.000000,0.678398,0.631195,0.000023,27543.791016,-1.414017
internalMesh,50,-0.012146,0.000448,0.000000,0.012154,9.887505,0.061838,0.000000,9.887698,0.768789,1.085275,0.000000,1.329985,-18.042423,-212134.453125,0.768789,1.085275,0.000000,1.329985,0.717297,0.000025,28863.693359,-1.473882
internalMesh,51,-0.011493,0.000448,0.000000,0.011501,9.826740,0.058315,0.000000,9.826913,0.151273,2.536046,0.000000,2.540554,-32.187378,-276031.843750,0.151273,2.536046,0.000000,2.540554,0.824575,0.000027,30109.988281,-1.535867
internalMesh,52,-0.010863,0.000448,0.000000,0.010872,9.757213,0.053777,0.000000,9.757360,0.194972,1.650475,0.000000,1.661951,-26.426453,-205901.093750,0.194972,1.650475,0.000000,1.661951,0.952542,0.000030,31268.222656,-1.599760
internalMesh,53,-0.010255,0.000448,0.000000,0.010264,9.679164,0.048738,0.000000,9.679287,1.416631,-2.363657,0.000000,2.755670,-12.451404,-96002.398438,1.416631,-2.363657,0.000000,2.755670,1.100361,0.000034,32330.097656,-1.664376
internalMesh,54,-0.009668,0.000448,0.000000,0.009678,9.593235,0.043618,0.000000,9.593334,0.382203,-4.137738,0.000000,4.155352,16.765545,243431.406250,0.382203,-4.137738,0.000000,4.155352,1.267482,0.000038,33284.269531,-1.727859
internalMesh,55,-0.009101,0.000448,0.000000,0.009112,9.500620,0.038347,0.000000,9.500697,-2.734605,-1.434683,0.000000,3.088103,66.371666,347226.500000,-2.734605,-1.434683,0.000000,3.088103,1.451493,0.000042,34122.109375,-1.787516
internalMesh,56,-0.008555,0.000448,0.000000,0.008566,9.402555,0.032822,0.000000,9.402612,-5.338535,1.861934,0.000000,5.653915,66.565987,209899.968750,-5.338535,1.861934,0.000000,5.653915,1.652430,0.000047,34873.773438,-1.843002
internalMesh,57,-0.008027,0.000448,0.000000,0.008040,9.300358,0.027334,0.000000,9.300398,-4.540592,3.070369,0.000000,5.481254,29.290762,2489.925049,-4.540592,3.070369,0.000000,5.481254,1.874715,0.000053,35548.101562,-1.896483
internalMesh,58,-0.007518,0.000448,0.000000,0.007531,9.195009,0.022227,0.000000,9.195036,-1.395700,2.884294,0.000000,3.204236,-23.684500,-153599.500000,-1.395700,2.884294,0.000000,3.204236,2.120385,0.000059,36144.503906,-1.949865
internalMesh,59,-0.007027,0.000448,0.000000,0.007041,9.088131,0.017769,0.000000,9.088148,1.322778,2.292440,0.000000,2.646700,-65.497452,-211828.593750,1.322778,2.292440,0.000000,2.646700,2.388186,0.000065,36652.570312,-2.004083
internalMesh,60,-0.006553,0.000448,0.000000,0.006568,8.980909,0.014072,0.000000,8.980921,3.099538,0.309362,0.000000,3.114938,-87.626534,-98733.421875,3.099538,0.309362,0.000000,3.114938,2.675400,0.000072,37059.226562,-2.059684
internalMesh,61,-0.006095,0.000448,0.000000,0.006112,8.875107,0.011330,0.000000,8.875114,4.594523,-3.080428,0.000000,5.531608,-78.130699,-65096.648438,4.594523,-3.080428,0.000000,5.531608,2.978754,0.000080,37348.242188,-2.116391
internalMesh,62,-0.005653,0.000448,0.000000,0.005671,8.771493,0.009490,0.000000,8.771498,5.551136,-5.189271,0.000000,7.598924,-27.197983,-3813.662598,5.551136,-5.189271,0.000000,7.598924,3.291816,0.000088,37518.640625,-2.173050
internalMesh,63,-0.005227,0.000448,0.000000,0.005246,8.671535,0.008357,0.000000,8.671539,4.589802,-4.428131,0.000000,6.377666,27.279272,140039.843750,4.589802,-4.428131,0.000000,6.377666,3.611585,0.000096,37557.449219,-2.227664
internalMesh,64,-0.004816,0.000448,0.000000,0.004837,8.575659,0.007600,0.000000,8.575663,1.724107,-2.047052,0.000000,2.676372,71.410103,134950.546875,1.724107,-2.047052,0.000000,2.676372,3.934093,0.000105,37471.757812,-2.279180
internalMesh,65,-0.004419,0.000448,0.000000,0.004442,8.484976,0.007125,0.000000,8.484979,-1.128924,0.717667,0.000000,1.337728,90.476822,4373.700195,-1.128924,0.717667,0.000000,1.337728,4.260142,0.000114,37259.925781,-2.327026
internalMesh,66,-0.004036,0.000448,0.000000,0.004061,8.399214,0.006811,0.000000,8.399217,-2.880912,3.161170,0.000000,4.276990,89.057449,-25825.349609,-2.880912,3.161170,0.000000,4.276990,4.587954,0.000124,36946.382812,-2.370730
internalMesh,67,-0.003666,0.000448,0.000000,0.003694,8.318995,0.006723,0.000000,8.318998,-3.578654,4.321095,0.000000,5.610582,70.289062,-134201.828125,-3.578654,4.321095,0.000000,5.610582,4.918993,0.000135,36521.320312,-2.409328
internalMesh,68,-0.003309,0.000448,0.000000,0.003340,8.243593,0.006924,0.000000,8.243596,-3.511253,4.098300,0.000000,5.396754,32.344597,-209059.828125,-3.511253,4.098300,0.000000,5.396754,5.250516,0.000146,36007.417969,-2.442034
internalMesh,69,-0.002965,0.000448,0.000000,0.002999,8.173430,0.007565,0.000000,8.173434,-3.070012,2.999163,0.000000,4.291847,-13.041949,-111961.171875,-3.070012,2.999163,0.000000,4.291847,5.586012,0.000158,35395.441406,-2.467534
internalMesh,70,-0.002633,0.000448,0.000000,0.002671,8.107438,0.008692,0.000000,8.107443,-2.479351,1.538259,0.000000,2.917776,-53.100880,-32389.500000,-2.479351,1.538259,0.000000,2.917776,5.920381,0.000170,34742.531250,-2.484601
internalMesh,71,-0.002312,0.000448,0.000000,0.002355,8.045988,0.010492,0.000000,8.045995,-1.840604,0.179633,0.000000,1.849348,-79.316444,40095.300781,-1.840604,0.179633,0.000000,1.849348,6.257132,0.000184,34044.441406,-2.491453
internalMesh,72,-0.002003,0.000448,0.000000,0.002052,7.987557,0.013127,0.000000,7.987568,-1.193137,-0.888613,0.000000,1.487685,-88.692917,94924.476562,-1.193137,-0.888613,0.000000,1.487685,6.587567,0.000198,33355.675781,-2.486839
internalMesh,73,-0.001704,0.000448,0.000000,0.001762,7.932796,0.017093,0.000000,7.932814,-0.543421,-1.716316,0.000000,1.800291,-81.381798,120699.250000,-0.543421,-1.716316,0.000000,1.800291,6.919754,0.000212,32666.087891,-2.468859
internalMesh,74,-0.001416,0.000448,0.000000,0.001485,7.879225,0.023111,0.000000,7.879259,-0.027775,-2.245217,0.000000,2.245389,-65.251549,125048.671875,-0.027775,-2.245217,0.000000,2.245389,7.239716,0.000226,32035.750000,-2.437260
internalMesh,75,-0.001137,0.000448,0.000000,0.001223,7.829179,0.033008,0.000000,7.829248,0.351540,-2.548108,0.000000,2.572243,-40.852627,106860.601562,0.351540,-2.548108,0.000000,2.572243,7.568541,0.000241,31425.730469,-2.391909
internalMesh,76,-0.000869,0.000448,0.000000,0.000978,7.778647,0.049928,0.000000,7.778807,0.594611,-2.550169,0.000000,2.618573,-17.890377,89402.093750,0.594611,-2.550169,0.000000,2.618573,7.885710,0.000255,30967.630859,-2.345663
internalMesh,77,-0.000610,0.000448,0.000000,0.000757,7.741284,0.080171,0.000000,7.741700,0.779535,-2.279586,0.000000,2.409188,4.054825,41701.242188,0.779535,-2.279586,0.000000,2.409188,8.243769,0.000270,30486.869141,-2.334766
internalMesh,78,-0.000360,0.000448,0.000000,0.000575,7.717172,0.134331,0.000000,7.718341,1.158073,-1.969255,0.000000,2.284535,19.494486,35962.824219,1.158073,-1.969255,0.000000,2.284535,8.615653,0.000282,30514.191406,-2.494205
internalMesh,79,-0.000119,0.000448,0.000000,0.000463,7.767294,0.246006,0.000000,7.771189,1.259530,-1.734761,0.000000,2.143784,47.517494,16528.099609,1.259530,-1.734761,0.000000,2.143784,9.294449,0.000302,30778.207031,-3.121614
internalMesh,80,-0.020126,0.000770,0.000000,0.020141,10.008102,0.030777,0.000000,10.008150,0.014408,0.038357,0.000000,0.040974,-0.136547,-5014.250000,0.014408,0.038357,0.000000,0.040974,0.376872,0.001499,253.197220,-0.479004
internalMesh,81,-0.019194,0.000770,0.000000,0.019210,10.029963,0.054110,0.000000,10.030108,0.152284,0.133421,0.000000,0.202463,0.628679,22445.625000,0.152284,0.133421,0.000000,0.202463,0.377767,0.000482,786.626587,-0.681391
internalMesh,82,-0.018295,0.000770,0.000000,0.018311,10.050680,0.060042,0.000000,10.050859,0.222178,0.057802,0.000000,0.229574,0.399404,18997.847656,0.222178,0.057802,0.000000,0.229574,0.377213,0.000278,1359.428467,-0.924352
internalMesh,83,-0.017428,0.000770,0.000000,0.017445,10.062976,0.063434,0.000000,10.063176,-0.067603,-0.212529,0.000000,0.223021,0.099946,-5814.931152,-0.067603,-0.212529,0.000000,0.223021,0.375489,0.000195,1933.692383,-1.073293
internalMesh,84,-0.016590,0.000770,0.000000,0.016608,10.069387,0.068875,0.000000,10.069623,-0.587825,-0.715112,0.000000,0.925701,-0.481025,-41301.539062,-0.587825,-0.715112,0.000000,0.925701,0.372950,0.000150,2488.746826,-1.154066
internalMesh,85,-0.015782,0.000770,0.000000,0.015801,10.074025,0.075916,0.000000,10.074311,-0.860245,0.587812,0.000000,1.041895,-0.685889,-74901.203125,-0.860245,0.587812,0.000000,1.041895,0.370043,0.000121,3081.110352,-1.216206
internalMesh,86,-0.015002,0.000770,0.000000,0.015022,10.078521,0.083141,0.000000,10.078864,0.360730,3.130358,0.000000,3.151074,-0.560701,-39763.550781,0.360730,3.130358,0.000000,3.151074,0.367058,0.000100,3703.573486,-1.281566
internalMesh,87,-0.014250,0.000770,0.000000,0.014270,10.082703,0.089984,0.000000,10.083104,2.444790,2.359290,0.000000,3.397535,0.272936,118973.898438,2.444790,2.359290,0.000000,3.397535,0.364345,0.000084,4390.136719,-1.351663
internalMesh,88,-0.013523,0.000770,0.000000,0.013545,10.086126,0.096853,0.000000,10.086592,2.752575,-1.670754,0.000000,3.219952,0.484458,233108.531250,2.752575,-1.670754,0.000000,3.219952,0.362047,0.000071,5104.595215,-1.422984
internalMesh,89,-0.012822,0.000770,0.000000,0.012845,10.088705,0.104075,0.000000,10.089242,0.619835,-4.558510,0.000000,4.600457,0.858859,103150.601562,0.619835,-4.558510,0.000000,4.600457,0.360651,0.000062,5837.231445,-1.494901
internalMesh,90,-0.012146,0.000770,0.000000,0.012170,10.090435,0.111484,0.000000,10.091051,-2.566974,-4.893561,0.000000,5.525966,-1.017349,-36157.949219,-2.566974,-4.893561,0.000000,5.525966,0.360830,0.000055,6593.534180,-1.568863
internalMesh,91,-0.011493,0.000770,0.000000,0.011518,10.091059,0.118745,0.000000,10.091758,-4.637910,-3.044441,0.000000,5.547867,-1.855620,-111013.476562,-4.637910,-3.044441,0.000000,5.547867,0.362929,0.000049,7372.276367,-1.645352
internalMesh,92,-0.010863,0.000770,0.000000,0.010890,10.090062,0.125496,0.000000,10.090842,-3.431937,1.874932,0.000000,3.910699,-1.736834,-143081.531250,-3.431937,1.874932,0.000000,3.910699,0.367387,0.000045,8168.734375,-1.723149
internalMesh,93,-0.010255,0.000770,0.000000,0.010283,10.086695,0.131337,0.000000,10.087550,0.380953,7.792300,0.000000,7.801606,-0.876240,-141922.156250,0.380953,7.792300,0.000000,7.801606,0.374515,0.000042,8983.601562,-1.799818
internalMesh,94,-0.009668,0.000770,0.000000,0.009698,10.080477,0.136276,0.000000,10.081398,3.239076,8.632280,0.000000,9.219972,1.172929,-44417.976562,3.239076,8.632280,0.000000,9.219972,0.384900,0.000039,9803.269531,-1.872944
internalMesh,95,-0.009101,0.000770,0.000000,0.009134,10.071226,0.140793,0.000000,10.072210,3.136885,3.615954,0.000000,4.786979,3.106096,175649.593750,3.136885,3.615954,0.000000,4.786979,0.398998,0.000038,10634.397461,-1.941675
internalMesh,96,-0.008555,0.000770,0.000000,0.008589,10.059020,0.145251,0.000000,10.060069,1.597751,-2.408333,0.000000,2.890135,9.016704,222378.453125,1.597751,-2.408333,0.000000,2.890135,0.416769,0.000036,11432.857422,-2.006278
internalMesh,97,-0.008027,0.000770,0.000000,0.008064,10.043585,0.149530,0.000000,10.044698,0.375759,-6.367588,0.000000,6.378665,7.420870,133078.000000,0.375759,-6.367588,0.000000,6.378665,0.439897,0.000036,12231.593750,-2.067006
internalMesh,98,-0.007518,0.000770,0.000000,0.007557,10.024873,0.153402,0.000000,10.026047,-0.706462,-7.953373,0.000000,7.984687,2.620570,7517.350098,-0.706462,-7.953373,0.000000,7.984687,0.466959,0.000036,13011.747070,-2.123789
internalMesh,99,-0.007027,0.000770,0.000000,0.007069,10.002459,0.156546,0.000000,10.003683,-1.590052,-7.252035,0.000000,7.424303,-7.836387,-91236.921875,-1.590052,-7.252035,0.000000,7.424303,0.503550,0.000036,13793.447266,-2.176807
internalMesh,100,-0.006553,0.000770,0.000000,0.006598,9.976590,0.158800,0.000000,9.977854,-0.935814,-3.383747,0.000000,3.510767,-12.550484,-161768.656250,-0.935814,-3.383747,0.000000,3.510767,0.542651,0.000037,14575.864258,-2.226272
internalMesh,101,-0.006095,0.000770,0.000000,0.006143,9.946742,0.159811,0.000000,9.948026,1.004488,2.428155,0.000000,2.627724,-16.196447,-185410.843750,1.004488,2.428155,0.000000,2.627724,0.595350,0.000039,15350.075195,-2.272116
internalMesh,102,-0.005653,0.000770,0.000000,0.005706,9.913363,0.159660,0.000000,9.914649,2.520946,6.443107,0.000000,6.918727,-12.861954,-128191.101562,2.520946,6.443107,0.000000,6.918727,0.647738,0.000040,16105.387695,-2.314154
internalMesh,103,-0.005227,0.000770,0.000000,0.005284,9.876188,0.158488,0.000000,9.877460,2.116560,6.995322,0.000000,7.308513,-7.350883,-27983.750000,2.116560,6.995322,0.000000,7.308513,0.716091,0.000043,16818.195312,-2.352469
internalMesh,104,-0.004816,0.000770,0.000000,0.004877,9.835943,0.156715,0.000000,9.837192,0.078454,5.274867,0.000000,5.275450,2.906456,53266.250000,0.078454,5.274867,0.000000,5.275450,0.782070,0.000045,17492.011719,-2.387465
internalMesh,105,-0.004419,0.000770,0.000000,0.004486,9.792397,0.154399,0.000000,9.793614,-1.971292,2.854000,0.000000,3.468617,12.535582,113445.898438,-1.971292,2.854000,0.000000,3.468617,0.865215,0.000048,18102.699219,-2.419042
internalMesh,106,-0.004036,0.000770,0.000000,0.004109,9.746123,0.151808,0.000000,9.747306,-3.596273,0.475858,0.000000,3.627620,20.952755,134731.531250,-3.596273,0.475858,0.000000,3.627620,0.944061,0.000051,18668.894531,-2.446767
internalMesh,107,-0.003666,0.000770,0.000000,0.003746,9.696807,0.148886,0.000000,9.697949,-4.545373,-1.417429,0.000000,4.761252,26.311682,108805.578125,-4.545373,-1.417429,0.000000,4.761252,1.042431,0.000054,19162.652344,-2.470041
